"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Z-momentum: Residual","Energy: Residual","Tke: Residual","Tdr: Residual","O2: Residual","CO2: Residual","CO: Residual","CH4: Residual","H2O: Residual","N2: Residual"
1.0,1.5469732363938757E-6,1.0768322606817004E-7,2.1919598931789417E-6,1.0939944198960189E-7,0.004065809696123207,4.142125847702873E-9,4.449618099970079E-9,8.190086559047551E-11,0.0,0.0,3.5254654497123904E-10,0.0,2.7064604194642917E-10
3.0,9.270604330756205E-6,3.2757537542104684E-6,7.789234904721613E-6,3.50518381112504E-6,0.0012793638972875064,1.1263847557603496E-8,2.086244532731117E-7,1.2712894435020303E-9,8.89678018224093E-10,3.108905221262927E-10,1.5560295766134274E-10,7.499010419806227E-10,2.3839592890437104E-10
6.0,4.915594135786583E-6,8.739849733036361E-7,3.4950305925158062E-6,9.127527991837874E-7,0.0021430839692339883,1.8982016543080915E-9,5.827663871950291E-7,5.348224413574034E-10,3.6895251405772665E-10,1.8340822974578542E-10,1.1005382088809293E-10,3.331918558848623E-10,3.3365863528041116E-10
8.0,4.366638287439801E-6,6.738167384228431E-7,3.1992250861537784E-6,7.472455964716789E-7,0.0021695820330005756,1.8009978544939023E-9,6.262502907721292E-7,4.126826920088105E-10,2.531535560753186E-10,2.5032476889699877E-10,1.073628794838874E-10,3.0451064800250613E-10,3.1720854580709865E-10
11.0,3.4475416563356046E-6,5.051829524340758E-7,2.7269346237425214E-6,5.826469125950981E-7,0.0021271963108229156,1.7386522643348445E-9,7.777263821451934E-7,3.5763100359972603E-10,1.9744898876544824E-10,3.2544329172330336E-10,8.967505843738479E-11,2.9581359800006773E-10,2.833680840181514E-10
13.0,3.538757829738621E-6,4.171724019498606E-7,2.390813200253628E-6,4.954154867692776E-7,0.0021302308747006096,1.8153526083991317E-9,7.851518887824607E-7,3.1851026919609825E-10,1.7587353248530604E-10,3.2909206290902317E-10,7.994246733442303E-11,2.7621140105481793E-10,2.7029949522608357E-10
16.0,4.604226742998407E-6,3.347266357647768E-7,1.88330336952722E-6,4.070158348389722E-7,0.0021365749498910287,1.7387077904557318E-9,6.16169999620607E-7,2.7636022621561794E-10,1.671743853530869E-10,3.1869527780969146E-10,6.974765055646587E-11,2.502162330163813E-10,2.569247719515883E-10
19.0,6.817258705700875E-6,3.0807432399668847E-7,1.4412516615202791E-6,3.646749023395259E-7,0.0020867844689180996,1.5496612302128564E-9,4.661969208979275E-7,2.9527366556260885E-10,1.4362412996381342E-10,3.1353909396874916E-10,6.562270021703767E-11,2.6091478845052297E-10,2.5600335746204783E-10
21.0,5.067224485818635E-6,3.0714812759808083E-7,1.2073089049680468E-6,3.4761802141881746E-7,0.002112208640759827,1.8794257671314906E-9,4.2285927608672536E-7,3.1155959259823333E-10,1.397677879104869E-10,3.1106490601816E-10,6.348980854423043E-11,2.7007116019286773E-10,2.56868563526803E-10
24.0,1.970717314268463E-6,2.1449544748779428E-7,7.666559336383483E-7,2.4797326155633594E-7,0.002216680154005625,2.284914962062875E-9,3.6713425107199176E-7,3.2631831306498896E-10,1.5768419646442178E-10,2.982526347646525E-10,6.04454300245452E-11,2.912768573866504E-10,2.510602617589937E-10
26.0,1.4172097216673812E-6,1.6845824416354567E-7,5.226777362341099E-7,1.936845906138742E-7,0.002288765522838696,2.662611387524924E-9,3.3114427027563047E-7,3.3331419496368836E-10,1.6268598251993503E-10,2.8925372926540243E-10,5.90881615816864E-11,3.11910475570636E-10,2.474669346485648E-10
29.0,8.739897693935965E-7,1.2380217325714372E-7,3.0864110184505794E-7,1.3655969152536056E-7,0.0023662208866743577,3.692969385572595E-9,3.091031385861027E-7,3.353282442042842E-10,1.480744067265609E-10,2.884873561961287E-10,5.795014493259918E-11,3.3670330562882495E-10,2.4630209628057794E-10
31.0,5.717055986643343E-7,1.0380642950323123E-7,2.2832652568153748E-7,1.1323041398279322E-7,0.0023758152342786003,4.4292765173542955E-9,3.2450522257810133E-7,3.238357648572724E-10,1.5133023891760118E-10,2.8451558189756946E-10,5.735506026113881E-11,3.410307925858415E-10,2.4923771226394354E-10
34.0,3.038967447336314E-7,8.349291380342765E-8,1.6284846112992917E-7,9.063012199873127E-8,0.002292362548875418,5.053802506314608E-9,3.779038026641829E-7,3.217117510331755E-10,1.911015419336482E-10,2.7322242089101687E-10,5.6036762979775486E-11,3.360924948489101E-10,2.614086003654331E-10
37.0,2.0543855537207756E-7,6.993529548927229E-8,1.308726141423776E-7,7.451275506743159E-8,0.0021024606135865245,4.903788888537837E-9,4.1533979810871135E-7,3.906714505799417E-10,2.6444001665852317E-10,3.3763693047704365E-10,5.6536842677985075E-11,3.279999887515703E-10,3.1424300968225445E-10
39.0,1.615549724061329E-7,6.274964768119202E-8,1.1612649113041599E-7,6.533371002396804E-8,0.00199863252388683,4.472584054989948E-9,3.910336203058278E-7,4.422609975582953E-10,3.380283951712489E-10,4.238861351042807E-10,6.01811608818852E-11,3.2736851535168605E-10,3.7602250736679074E-10
42.0,1.2472843468264388E-7,5.3892762090175904E-8,9.81452867725043E-8,5.5150679843187824E-8,0.001913247515609738,3.8215789814494284E-9,3.00759641630833E-7,4.937023134420662E-10,4.5834466135548047E-10,4.735081181623059E-10,5.856438693206942E-11,3.1287697571618355E-10,4.4271609115868276E-10
